Date,Open,High,Low,Close,Volume,Adj Close
2016-12-16,24.049999,24.09,23.950001,23.950001,1919400,23.950001
2016-12-15,24.059999,24.10,24.00,24.049999,1427500,24.049999
2016-12-14,24.51,24.51,24.26,24.26,1325300,24.26
2016-12-13,24.620001,24.690001,24.610001,24.629999,1603300,24.629999
2016-12-12,24.85,24.860001,24.51,24.60,2643400,24.60
2016-12-09,25.540001,25.540001,25.360001,25.440001,939300,25.440001
2016-12-08,25.33,25.440001,25.27,25.280001,881300,25.280001
2016-12-07,25.48,25.60,25.43,25.58,737400,25.58
2016-12-06,25.370001,25.41,25.33,25.35,608500,25.35
2016-12-05,25.559999,25.629999,25.469999,25.549999,1077600,25.549999
2016-12-02,25.90,25.969999,25.85,25.93,867700,25.93
2016-12-01,26.09,26.190001,26.08,26.18,769200,26.18
2016-11-30,25.93,25.93,25.83,25.879999,1089500,25.879999
2016-11-29,25.98,26.139999,25.90,26.129999,1497300,26.129999
2016-11-28,25.719999,25.77,25.690001,25.73,715100,25.73
2016-11-25,25.60,25.700001,25.530001,25.700001,762200,25.700001
2016-11-23,25.23,25.299999,25.15,25.25,795900,25.25
2016-11-22,25.299999,25.42,25.290001,25.41,702700,25.41
2016-11-21,25.049999,25.139999,25.030001,25.139999,536700,25.139999
2016-11-18,24.92,24.92,24.82,24.83,447100,24.83
2016-11-17,24.99,25.10,24.91,25.08,263300,25.08
2016-11-16,24.969999,24.969999,24.889999,24.92,443200,24.92
2016-11-15,25.030001,25.08,25.00,25.07,434300,25.07
2016-11-14,25.120001,25.129999,25.01,25.030001,487800,25.030001
2016-11-11,25.01,25.15,24.940001,25.110001,1237700,25.110001
2016-11-10,25.030001,25.07,24.68,24.790001,1277800,24.790001
2016-11-09,24.799999,24.99,24.799999,24.90,1546400,24.90
2016-11-08,24.879999,25.059999,24.84,24.98,910400,24.98
2016-11-07,24.799999,24.90,24.790001,24.90,688000,24.90
2016-11-04,24.85,24.85,24.719999,24.74,825100,24.74
2016-11-03,24.76,24.91,24.76,24.90,675800,24.90
2016-11-02,24.73,24.77,24.629999,24.639999,473700,24.639999
2016-11-01,24.84,24.84,24.68,24.82,548200,24.82
2016-10-31,24.629999,24.68,24.60,24.639999,295600,24.639999
2016-10-28,24.67,24.74,24.610001,24.65,488400,24.65
2016-10-27,24.77,24.780001,24.67,24.67,321100,24.67
2016-10-26,24.82,24.879999,24.76,24.799999,424800,24.799999
2016-10-25,24.99,25.00,24.870001,24.90,924900,24.90
2016-10-24,25.00,25.10,25.00,25.030001,517200,25.030001
2016-10-21,24.76,24.799999,24.68,24.700001,702800,24.700001
2016-10-20,24.66,24.780001,24.66,24.76,429900,24.76
2016-10-19,24.790001,24.799999,24.709999,24.75,2030100,24.75
2016-10-18,24.75,24.90,24.75,24.860001,1372300,24.860001
2016-10-17,24.40,24.43,24.35,24.379999,566700,24.379999
2016-10-14,24.719999,24.77,24.690001,24.700001,533900,24.700001
2016-10-13,24.58,24.629999,24.48,24.549999,567100,24.549999
2016-10-12,24.629999,24.68,24.58,24.65,142500,24.65
2016-10-11,24.84,24.84,24.58,24.610001,587300,24.610001
2016-10-10,24.780001,24.809999,24.700001,24.75,567800,24.75
2016-10-07,24.66,24.67,24.52,24.66,576000,24.66
2016-10-06,24.52,24.65,24.52,24.57,740000,24.57
2016-10-05,24.450001,24.530001,24.450001,24.52,776600,24.52
2016-10-04,24.469999,24.58,24.42,24.440001,401100,24.440001
2016-10-03,24.58,24.60,24.42,24.549999,452800,24.549999
2016-09-30,24.459999,24.629999,24.459999,24.58,535100,24.58
2016-09-29,24.450001,24.559999,24.40,24.43,593700,24.43
2016-09-28,24.370001,24.48,24.299999,24.469999,266300,24.469999
2016-09-27,24.280001,24.40,24.280001,24.370001,563000,24.370001
2016-09-26,24.16,24.18,24.07,24.120001,1081500,24.120001
2016-09-23,24.709999,24.719999,24.58,24.60,625600,24.60
2016-09-22,25.00,25.00,24.85,24.90,580300,24.90
2016-09-21,24.60,24.870001,24.60,24.84,648900,24.84
2016-09-20,24.709999,24.75,24.57,24.59,615400,24.59
2016-09-19,24.83,24.83,24.65,24.690001,421500,24.690001
2016-09-16,24.629999,24.690001,24.540001,24.65,634100,24.65
2016-09-15,24.40,24.65,24.40,24.610001,805200,24.610001
2016-09-14,24.370001,24.450001,24.34,24.35,612700,24.35
2016-09-13,24.459999,24.68,24.35,24.389999,1203500,24.389999
2016-09-12,24.309999,24.75,24.290001,24.67,827400,24.67
2016-09-09,24.98,25.15,24.709999,24.73,1617600,24.73
2016-09-08,25.40,25.40,25.27,25.27,693300,25.27
2016-09-07,25.360001,25.370001,25.25,25.25,442300,25.25
2016-09-06,25.25,25.360001,25.190001,25.34,1106200,25.34
2016-09-02,25.15,25.15,25.08,25.120001,823900,25.120001
2016-09-01,24.950001,25.01,24.889999,24.959999,703400,24.959999
2016-08-31,25.17,25.18,25.09,25.15,580100,25.15
2016-08-30,25.07,25.07,24.98,25.02,667400,25.02
2016-08-29,24.940001,25.110001,24.90,25.07,1366600,25.07
2016-08-26,25.07,25.200001,24.84,24.90,991200,24.90
