Date,Open,High,Low,Close,Volume,Adj Close
2016-12-16,14.54,14.67,14.32,14.32,5304200,14.32
2016-12-15,14.33,14.54,14.30,14.49,3304600,14.49
2016-12-14,14.31,14.41,14.24,14.26,2818200,14.26
2016-12-13,14.18,14.37,14.15,14.31,4530200,14.31
2016-12-12,14.31,14.31,14.01,14.17,3746200,14.17
2016-12-09,14.40,14.45,14.26,14.35,6252100,14.35
2016-12-08,14.33,14.42,14.22,14.25,4507700,14.25
2016-12-07,14.08,14.43,14.03,14.37,6400000,14.37
2016-12-06,14.13,14.19,14.03,14.06,3404100,14.06
2016-12-05,13.59,14.21,13.59,14.03,7527500,14.03
2016-12-02,13.86,14.06,13.80,14.02,4079700,14.02
2016-12-01,14.33,14.46,13.85,13.98,7527900,13.92
2016-11-30,14.35,14.54,14.30,14.34,5543100,14.278455
2016-11-29,14.44,14.50,14.30,14.38,3883500,14.318284
2016-11-28,14.53,14.70,14.46,14.48,4930400,14.417854
2016-11-25,14.64,14.79,14.61,14.66,1412700,14.597082
2016-11-23,14.75,14.82,14.61,14.69,3734200,14.626953
2016-11-22,14.82,14.88,14.73,14.81,5527500,14.746438
2016-11-21,14.73,15.00,14.67,14.75,9770000,14.686695
2016-11-18,14.63,14.80,14.15,14.80,25437300,14.736481
2016-11-17,13.45,13.58,13.23,13.36,7846000,13.302661
2016-11-16,13.41,13.52,13.36,13.43,3933000,13.372361
2016-11-15,13.31,13.52,13.15,13.43,4803400,13.372361
2016-11-14,12.98,13.24,12.88,13.19,6260900,13.13339
2016-11-11,12.48,12.99,12.48,12.98,6270500,12.924292
2016-11-10,12.83,12.96,12.31,12.49,4804000,12.436395
2016-11-09,12.39,12.78,12.30,12.70,4299400,12.645494
2016-11-08,12.81,12.87,12.68,12.70,3028200,12.645494
2016-11-07,12.69,12.87,12.60,12.85,4462100,12.79485
2016-11-04,12.57,12.68,12.44,12.52,3844000,12.466267
2016-11-03,12.85,12.89,12.41,12.63,4594300,12.575794
2016-11-02,12.95,13.10,12.85,12.94,3856200,12.884463
2016-11-01,13.18,13.23,12.79,12.95,4219200,12.894421
2016-10-31,13.14,13.20,12.96,13.03,2958600,12.974077
2016-10-28,13.54,13.54,13.05,13.10,7224900,13.043777
2016-10-27,13.42,13.61,13.10,13.12,3973300,13.063691
2016-10-26,13.05,13.51,13.05,13.40,5967700,13.342489
2016-10-25,13.10,13.32,12.97,13.16,3577600,13.103519
2016-10-24,12.95,13.08,12.91,13.07,1943300,13.013905
2016-10-21,12.99,13.07,12.84,12.90,2681100,12.844635
2016-10-20,12.91,13.13,12.85,13.05,3425900,12.993992
2016-10-19,12.84,13.02,12.76,12.91,3772700,12.854592
2016-10-18,13.00,13.04,12.94,13.01,2187700,12.954163
2016-10-17,12.92,13.02,12.78,12.87,3287300,12.814764
2016-10-14,13.10,13.20,12.98,13.00,3459100,12.944206
2016-10-13,12.80,13.05,12.58,13.00,4670200,12.944206
2016-10-12,13.16,13.20,12.79,12.94,4371900,12.884463
2016-10-11,13.14,13.20,12.73,12.83,5039800,12.774936
2016-10-10,13.16,13.26,13.08,13.17,1666600,13.113477
2016-10-07,13.16,13.18,13.03,13.11,2538500,13.053734
2016-10-06,13.13,13.20,12.98,13.18,1914400,13.123434
2016-10-05,13.10,13.24,13.09,13.17,2248900,13.113477
2016-10-04,13.07,13.23,12.95,13.02,3315100,12.964121
2016-10-03,13.20,13.33,13.00,13.02,4013100,12.964121
2016-09-30,13.25,13.56,13.25,13.27,7375600,13.213048
2016-09-29,13.18,13.46,13.05,13.24,6707500,13.183176
2016-09-28,13.15,13.45,13.04,13.17,7100700,13.113477
2016-09-27,12.83,13.10,12.77,13.09,5479200,13.03382
2016-09-26,12.90,13.02,12.83,12.87,6302100,12.814764
2016-09-23,12.91,13.12,12.73,13.01,5332000,12.894421
2016-09-22,12.95,13.04,12.84,12.96,3400700,12.844865
2016-09-21,12.70,12.94,12.65,12.92,5813900,12.80522
2016-09-20,12.90,12.94,12.55,12.59,4774700,12.478152
2016-09-19,12.77,13.04,12.77,12.90,9254000,12.785397
2016-09-16,12.95,12.99,12.60,12.74,9954100,12.626819
2016-09-15,12.49,12.70,12.45,12.57,4361900,12.458329
2016-09-14,12.48,12.55,12.25,12.46,2831900,12.349307
2016-09-13,12.42,12.64,12.26,12.45,4178500,12.339395
2016-09-12,12.07,12.54,12.03,12.54,6237200,12.428596
2016-09-09,12.54,12.69,12.09,12.31,6891500,12.20064
2016-09-08,12.59,12.83,12.52,12.55,6410300,12.438507
2016-09-07,12.57,12.82,12.55,12.63,7478100,12.517797
