Date,Open,High,Low,Close,Volume,Adj Close
2016-12-16,54.450001,55.689999,54.450001,55.470001,3047900,55.470001
2016-12-15,54.68,54.799999,53.830002,54.040001,2140300,54.040001
2016-12-14,56.439999,56.52,54.389999,54.650002,2322200,54.650002
2016-12-13,56.630001,56.830002,55.779999,56.110001,1611100,56.110001
2016-12-12,55.50,56.330002,55.470001,56.18,1378700,56.18
2016-12-09,55.400002,55.880001,55.310001,55.610001,1157200,55.610001
2016-12-08,55.099998,55.490002,54.439999,55.330002,2029800,55.330002
2016-12-07,54.720001,55.810001,54.720001,55.450001,2208000,55.450001
2016-12-06,54.75,55.279999,54.419998,54.59,1818100,54.59
2016-12-05,54.869999,54.869999,53.57,54.73,2234200,54.73
2016-12-02,53.700001,55.900002,53.700001,54.73,2942300,54.73
2016-12-01,55.009998,55.189999,53.310001,53.490002,2687800,53.490002
2016-11-30,55.939999,56.080002,55.00,55.439999,2537900,55.439999
2016-11-29,56.150002,57.25,56.150002,56.740002,1413500,56.740002
2016-11-28,56.48,57.27,56.029999,56.349998,1666400,56.147998
2016-11-25,56.330002,57.119999,56.25,56.57,709400,56.367211
2016-11-23,56.009998,56.599998,55.68,56.119999,1263100,55.918823
2016-11-22,55.43,56.700001,55.049999,56.599998,1676500,56.397102
2016-11-21,55.25,55.860001,54.93,55.09,1519000,54.892517
2016-11-18,54.91,55.400002,54.66,55.150002,3055500,54.952303
2016-11-17,56.150002,56.450001,54.810001,54.869999,1699400,54.673304
2016-11-16,56.060001,56.27,55.32,56.150002,1573600,55.948718
2016-11-15,55.779999,56.91,55.130001,55.669998,1981500,55.470436
2016-11-14,54.18,55.830002,53.32,55.619999,2315100,55.420616
2016-11-11,54.389999,55.57,54.169998,54.389999,2299100,54.195025
2016-11-10,55.619999,55.619999,52.720001,54.279999,4744800,54.085419
2016-11-09,58.349998,58.349998,55.349998,55.619999,3615400,55.420616
2016-11-08,58.509998,59.139999,58.299999,58.939999,1510900,58.728714
2016-11-07,58.02,58.540001,57.619999,58.450001,1637000,58.240473
2016-11-04,56.790001,57.790001,56.27,57.380001,1889300,57.174309
2016-11-03,56.66,56.880001,56.25,56.549999,1589100,56.347282
2016-11-02,57.790001,57.860001,56.689999,56.709999,1919100,56.506708
2016-11-01,59.07,59.07,57.279999,57.740002,2574300,57.533019
2016-10-31,58.73,59.259998,57.080002,59.240002,2964000,59.027642
2016-10-28,58.700001,59.389999,58.400002,58.529999,1801400,58.320184
2016-10-27,61.240002,61.299999,58.860001,59.110001,2095000,58.696831
2016-10-26,62.040001,62.099998,60.759998,61.310001,1078400,60.881454
2016-10-25,62.09,62.650002,61.689999,62.299999,980500,61.864532
2016-10-24,62.259998,62.889999,61.529999,62.299999,1301800,61.864532
2016-10-21,62.080002,62.459999,61.560001,61.900002,1009300,61.467331
2016-10-20,62.650002,62.790001,61.939999,62.450001,947100,62.013485
2016-10-19,62.740002,62.759998,62.150002,62.540001,1119600,62.102857
2016-10-18,63.009998,63.18,62.32,62.66,1227800,62.222017
2016-10-17,62.200001,62.98,62.07,62.650002,1180100,62.212088
2016-10-14,62.52,62.950001,61.740002,62.040001,893900,61.606351
2016-10-13,61.459999,63.209999,61.189999,62.709999,1868000,62.271666
2016-10-12,60.970001,61.919998,60.880001,61.669998,1254600,61.238935
2016-10-11,61.889999,62.00,60.709999,60.810001,1705000,60.384949
2016-10-10,61.650002,62.389999,61.639999,62.110001,975100,61.675862
2016-10-07,61.98,62.709999,61.02,61.459999,1446200,61.030404
2016-10-06,61.740002,62.16,60.560001,61.59,2078600,61.159496
2016-10-05,63.880001,63.950001,61.860001,61.919998,2059600,61.487187
2016-10-04,65.330002,65.370003,63.209999,63.689999,1825800,63.244816
2016-10-03,66.68,66.75,65.32,65.379997,1560900,64.923002
2016-09-30,68.059998,68.349998,66.919998,66.93,1470500,66.462171
2016-09-29,68.300003,68.339996,67.120003,67.599998,1245700,67.127486
2016-09-28,68.25,68.889999,67.919998,68.82,1095800,68.138372
2016-09-27,68.980003,69.139999,67.980003,68.18,1218000,67.504711
2016-09-26,67.82,68.989998,67.559998,68.68,1582000,67.999759
2016-09-23,67.599998,68.269997,66.970001,68.050003,1078300,67.376002
2016-09-22,67.269997,68.25,67.269997,67.879997,1508100,67.20768
2016-09-21,65.639999,66.889999,65.019997,66.760002,1458200,66.098777
2016-09-20,65.529999,65.900002,65.360001,65.589996,1189500,64.94036
2016-09-19,64.50,65.260002,64.50,65.220001,1366800,64.574029
2016-09-16,64.199997,64.629997,63.900002,64.470001,2471800,63.831458
2016-09-15,63.950001,64.449997,63.75,64.330002,1311000,63.692845
2016-09-14,63.849998,64.550003,63.689999,63.990002,1349900,63.356212
2016-09-13,65.050003,65.25,63.330002,63.540001,2023000,62.910669
2016-09-12,64.129997,65.989998,64.010002,65.540001,2017000,64.89086
2016-09-09,66.580002,66.580002,64.25,64.260002,2219900,63.623539
2016-09-08,67.529999,67.870003,67.129997,67.419998,2731500,66.752237
2016-09-07,67.25,68.080002,67.18,67.989998,1453300,67.316591
2016-09-06,66.50,67.18,65.919998,67.18,1301000,66.514616
2016-09-02,66.00,67.75,65.980003,66.269997,1191600,65.613625
2016-09-01,65.599998,66.099998,65.309998,65.739998,1453900,65.088876
2016-08-31,65.389999,65.860001,64.949997,65.730003,2778900,65.07898
2016-08-30,66.059998,66.239998,65.010002,65.440002,1275000,64.791852
2016-08-29,66.00,66.790001,66.00,66.379997,1143600,65.522536
2016-08-26,66.919998,67.309998,65.389999,65.730003,1280600,64.880939
2016-08-25,66.800003,67.400002,66.440002,66.669998,1573700,65.808791
2016-08-24,67.349998,67.43,66.150002,66.68,1066000,65.818664
2016-08-23,67.599998,67.849998,67.260002,67.290001,697600,66.420785
2016-08-22,66.970001,67.699997,66.849998,67.459999,966300,66.588587
2016-08-19,67.690002,68.00,66.519997,66.800003,1382900,65.937117
2016-08-18,67.699997,68.029999,67.459999,67.809998,910300,66.934065
2016-08-17,67.089996,67.620003,66.260002,67.610001,1720700,66.736651
2016-08-16,67.699997,67.699997,66.379997,66.940002,2034100,66.075308
2016-08-15,68.769997,68.790001,67.93,67.989998,947200,67.11174
2016-08-12,68.470001,69.400002,68.25,68.639999,1126100,67.753345
2016-08-11,69.209999,69.220001,67.830002,68.18,1113400,67.299288
2016-08-10,69.029999,69.470001,68.980003,69.209999,1117100,68.315982
2016-08-09,68.519997,69.099998,67.870003,68.93,969800,68.0396
2016-08-08,68.459999,68.849998,67.75,68.440002,1058500,67.555932
2016-08-05,69.540001,69.540001,68.25,68.559998,1394200,67.674377
2016-08-04,69.339996,70.160004,69.300003,69.540001,1166500,68.641721
2016-08-03,69.93,70.010002,68.720001,69.18,2319200,68.28637
2016-08-02,71.739998,71.940002,69.790001,70.010002,2088300,69.105651
2016-08-01,71.489998,72.300003,71.470001,72.139999,1643000,71.208134
2016-07-29,70.849998,71.959999,70.849998,71.470001,3925000,70.54679
2016-07-28,69.510002,71.010002,69.339996,70.68,1685400,69.766994
