Date,Open,High,Low,Close,Volume,Adj Close
2016-12-16,81.580002,83.169998,81.449997,82.629997,6541800,82.629997
2016-12-15,81.82,82.470001,81.160004,81.410004,3913300,81.410004
2016-12-14,83.620003,83.830002,81.75,81.889999,4794600,81.889999
2016-12-13,84.099998,84.190002,83.139999,83.720001,3979000,83.720001
2016-12-12,82.980003,83.809998,82.830002,83.760002,3601200,83.760002
2016-12-09,83.349998,83.989998,83.019997,83.209999,4468700,83.209999
2016-12-08,82.449997,83.529999,82.010002,83.300003,4402000,83.300003
2016-12-07,81.169998,82.860001,81.07,82.730003,5424100,82.730003
2016-12-06,80.800003,81.470001,80.50,81.110001,3695200,81.110001
2016-12-05,80.010002,80.690002,79.730003,80.589996,3456700,80.589996
2016-12-02,79.559998,80.830002,79.43,80.00,3695900,80.00
2016-12-01,79.919998,80.209999,78.760002,79.209999,6359800,79.209999
2016-11-30,80.550003,81.050003,80.00,80.389999,6808200,80.389999
2016-11-29,80.629997,81.730003,80.57,81.32,3754200,81.32
2016-11-28,80.18,81.080002,80.129997,80.550003,4065700,80.550003
2016-11-25,79.800003,80.629997,79.739998,80.18,1902100,80.18
2016-11-23,79.360001,79.800003,79.040001,79.720001,6534400,79.720001
2016-11-22,79.07,80.099998,78.830002,80.059998,4226700,80.059998
2016-11-21,79.18,79.75,78.589996,78.68,3487700,78.68
2016-11-18,78.790001,79.129997,78.419998,78.919998,3654500,78.919998
2016-11-17,79.459999,80.059998,78.580002,78.690002,3645200,78.690002
2016-11-16,79.760002,80.00,78.900002,79.50,5069000,79.50
2016-11-15,80.669998,81.339996,79.18,79.730003,7683500,79.730003
2016-11-14,78.400002,80.610001,78.019997,80.400002,6722000,80.400002
2016-11-11,78.00,79.510002,77.949997,78.540001,5044900,78.540001
2016-11-10,79.300003,79.339996,76.980003,78.07,13504200,78.07
2016-11-09,78.699997,80.00,77.769997,79.400002,10040800,79.400002
2016-11-08,80.18,80.889999,79.800003,80.620003,3937000,80.620003
2016-11-07,79.410004,80.230003,79.410004,80.199997,5801800,80.199997
